"id_publicacao","link_permanente","status_messagem",status_type,Países,Idiomas,status_publicado,"Direcionamento do público","total_publicacao","Vitalício: alcance orgânico da publicação","Vitalício: alcance pago da publicação","Vitalício: total de impressões da publicação","Vitalício: impressões orgânicas da publicação","Vitalício: impressões pagas da publicação","Vitalício: usuários envolvidos","num_pub_corres","Vitalício: consumos de direcionamento do público com correspondência na publicação","Vitalício: comentários negativos dos usuários","Vitalício: feedback negativo","Vitalício: impressões da publicação por pessoas que curtiram sua Página","Vitalício: alcance da publicação por pessoas que curtiram sua Página","Vitalício: impressões pagas da publicação por pessoas que curtiram sua Página","Vitalício: alcance pago de uma publicação por pessoas que curtiram sua Página","Vitalício: pessoas que curtiram sua Página e se envolveram com a sua publicação","Vitalício: visualizações até 95% orgânicas","Vitalício: visualizações até 95% orgânicas","Vitalício: visualizações até 95% pagas","Vitalício: visualizações até 95% pagas","Vitalício: visualizações do vídeo orgânicas","Vitalício: visualizações do vídeo orgânicas","Vitalício: visualizações do vídeo pagas","Vitalício: visualizações do vídeo pagas","Vitalício: tempo médio de visualização do vídeo","Duração de vídeo vitalícia","num_likes","num_shares","num_comments","Vitalício: histórias da publicação por tipo de ação - like","Vitalício: histórias da publicação por tipo de ação - share","Vitalício: histórias da publicação por tipo de ação - comment","num_other_cliks","num_photo_view","num_link_clicks","num_video_play","Consumos de direcionamento para público correspondente vitalício por tipo - other clicks","num_photo_view","Consumos de direcionamento para público correspondente vitalício por tipo - link clicks","Consumos de direcionamento para público correspondente vitalício por tipo - video play","Vitalício: comentários negativos de usuários por tipo - hide_all_clicks","Vitalício: comentários negativos de usuários por tipo - hide_clicks","Vitalício: feedback negativo por tipo - hide_all_clicks","Vitalício: feedback negativo por tipo - hide_clicks"
218725464821904_1969787469715686,https://www.facebook.com/faculdadecn/posts/1969787469715686,"Inscrições: https://extensao.fcn.edu.br",Photo,,,"03/08/2018 01:00:00 PM"," ",243,243,0,355,355,0,12,8,13,0,0,165,108,0,0,9,0,0,0,0,0,0,0,0,0,0,3,2,,3,2,,5,3,2,,7,4,2,,,,,
218725464821904_1970125873015179,https://www.facebook.com/faculdadecn/posts/1970125873015179,"\o/ NOTÍCIA BOA!!! \o/

A Faculdade Canção Nova, sempre em busca de criar oportunidades para o nosso aluno, foi credenciada ao Programa Escola da Família do Governo do Estado de São Paulo. Essa iniciativa beneficiará o nosso aluno com bolsas de estudo, que por sua vez, com empenho e dedicação, atuará em ações para o desenvolvimento da comunidade local. Tá esperando o que para concorrer a sua bolsa? ;)

Acesse  http://escoladafamilia.fde.sp.gov.br/default.asp",Photo,,,"03/08/2018 09:26:31 AM"," ",6018,6018,0,8938,8938,0,517,434,547,0,0,1580,724,0,0,173,0,0,0,0,0,0,0,0,0,0,132,50,17,167,50,20,407,42,22,,476,45,26,,,,,
218725464821904_1969798989714534,https://www.facebook.com/faculdadecn/posts/1969798989714534,"Seja feliz! Feliz Dia Internacional da Mulher!",Photo,,,"03/08/2018 07:00:00 AM"," ",111,111,0,171,171,0,5,0,0,0,0,109,67,0,0,5,0,0,0,0,0,0,0,0,0,0,5,1,,5,1,,,,,,,,,,,,,
218725464821904_1967813309913102,https://www.facebook.com/faculdadecn/posts/1967813309913102,,Photo,,,"03/08/2018 04:00:00 AM"," ",90,90,0,137,137,0,2,1,1,0,0,94,67,0,0,2,0,0,0,0,0,0,0,0,0,0,1,,,1,,,1,,,,1,,,,,,,
218725464821904_1966545726706527,https://www.facebook.com/faculdadecn/posts/1966545726706527,,Photo,,,"03/05/2018 08:47:10 AM"," ",286,286,0,398,398,0,11,6,8,0,0,350,254,0,0,11,0,0,0,0,0,0,0,0,0,0,5,,,5,,,3,4,,,3,5,,,,,,
218725464821904_338575823321785,https://www.facebook.com/events/338575823321785/,"Palestrantes:  Anna Aryel Amaro da Silva - Especialista em Libras e Educação Inclusiva pelo Centro Universitário Barão de Mauá. 
Pe. Dr. Anderson Marçal Moreira - Doutor em Teologia pela
Universidade Pontifícia Salesiana de Roma
Marcius Tadeu Maciel Nahur -  Mestre em Direito pelo
Centro Universitário
Salesiano de São Paulo -
Unidade de Ensino de
Lorena (2007).",Status,,,"03/05/2018 06:52:56 AM"," ",457,457,0,651,651,0,1,0,0,0,0,606,430,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
218725464821904_1966284263399340,https://www.facebook.com/faculdadecn/posts/1966284263399340,"-AVISO-

Comunicamos que dia 06/03 - terça feira, teremos nossa missa mensal às 19h50min. Neste dia não haverá a missa das 17h45min.",Status,,,"03/05/2018 04:21:13 AM"," ",198,198,0,298,298,0,8,4,5,1,1,236,155,0,0,8,0,0,0,0,0,0,0,0,0,0,3,1,,3,1,,3,1,,,4,1,,,1,,1,
218725464821904_1965842830110150,https://www.facebook.com/faculdadecn/posts/1965842830110150,"Faculdade Canção Nova compartilhou um vídeo.",SharedVideo,,,"03/04/2018 06:13:10 PM"," ",192,192,0,281,281,0,7,5,8,0,0,239,169,0,0,7,0,0,0,0,34,37,0,0,0,78185,3,,,3,,,4,1,,,7,1,,,,,,
218725464821904_1961785043849262,https://www.facebook.com/faculdadecn/posts/1961785043849262,"Aula Inaugural dos cursos de #filosofia e #teologia da @faculdadecn 📚📝🙏🏼",Photo,,,"03/01/2018 05:37:45 AM"," ",550,550,0,797,797,0,64,53,82,0,0,669,455,0,0,62,0,0,0,0,0,0,0,0,0,0,17,,,17,,,14,52,,,22,60,,,,,,
218725464821904_1959462314081535,https://www.facebook.com/faculdadecn/posts/1959462314081535,"Ontem ocorreu a aula inaugural dos cursos de #jornalismo e #rádioetv 📚📝🙏🏼 #faculdadecn #cancaonova",Photo,,,"02/27/2018 03:30:34 AM"," ",791,791,0,1192,1192,0,114,95,147,1,1,1021,676,0,0,101,0,0,0,0,0,0,0,0,0,0,28,2,,28,2,,19,88,,,43,104,,,1,,1,
